filename,class
Raw_Banana.00580edf-7dd9-11ed-9168-ca27fdb58ae8.jpg,0
Raw_Banana.006c03fa-7613-11ed-b8fa-d0ec6da7db5b.jpg,0
Raw_Banana.00e051c1-7dda-11ed-b05a-ca27fdb58ae8.jpg,0
Raw_Banana.00efb033-ebcc-11ed-a1f8-346f24e2fa38.jpg,0
Raw_Banana.010bee6c-ebe5-11ed-a86f-346f24e2fa38.jpg,0
Raw_Banana.018d1bbe-7dd9-11ed-b972-ca27fdb58ae8.jpg,0
Raw_Banana.01a2cf8f-7613-11ed-a063-d0ec6da7db5b.jpg,0
Raw_Banana.0223af85-ebcc-11ed-98ec-346f24e2fa38.jpg,0
Raw_Banana.023ee135-ebe5-11ed-8c0f-346f24e2fa38.jpg,0
Raw_Banana.02c2d6a2-7dd9-11ed-a7b7-ca27fdb58ae8.jpg,0
Raw_Banana.02d85fec-7613-11ed-b8d5-d0ec6da7db5b.jpg,0
Raw_Banana.035ba9e9-ebcc-11ed-b0a5-346f24e2fa38.jpg,0
Raw_Banana.0373e8c4-ebe5-11ed-863d-346f24e2fa38.jpg,0
Raw_Banana.03f99bda-7dd9-11ed-a6da-ca27fdb58ae8.jpg,0
Raw_Banana.040e795d-7613-11ed-8191-d0ec6da7db5b.jpg,0
Raw_Banana.049028a4-ebcc-11ed-b482-346f24e2fa38.jpg,0
Raw_Banana.04a8bcbd-ebe5-11ed-9402-346f24e2fa38.jpg,0
Raw_Banana.053045ae-7dd9-11ed-9141-ca27fdb58ae8.jpg,0
Raw_Banana.05452eeb-7613-11ed-8ea4-d0ec6da7db5b.jpg,0
Raw_Banana.05c49dda-ebcc-11ed-adff-346f24e2fa38.jpg,0
Raw_Banana.05db9aca-ebe5-11ed-b7f7-346f24e2fa38.jpg,0
Raw_Banana.06655f0e-7dd9-11ed-8e1b-ca27fdb58ae8.jpg,0
Raw_Banana.067bb8cb-7613-11ed-8e74-d0ec6da7db5b.jpg,0
Raw_Banana.06fa93a7-ebcc-11ed-b5b1-346f24e2fa38.jpg,0
Raw_Banana.079b3d6b-7dd9-11ed-adb8-ca27fdb58ae8.jpg,0
Raw_Banana.07afa0a1-7613-11ed-95ea-d0ec6da7db5b.jpg,0
